epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,85,SP,Adamantina,3500105,city,47,134.02532,1,4,0,0.0851,35068,True,False
26,2020-06-26,58,SP,Adolfo,3500204,city,17,477.25997,2,2,0,0.1176,3562,True,False
26,2020-06-26,65,SP,Aguaí,3500303,city,69,190.05647,5,4,0,0.058,36305,True,False
26,2020-06-26,59,SP,Águas da Prata,3500402,city,2,24.44988,0,0,0,0.0,8180,True,False
26,2020-06-26,86,SP,Águas de Lindóia,3500501,city,34,181.76958,1,3,0,0.0882,18705,True,False
26,2020-06-26,50,SP,Águas de Santa Bárbara,3500550,city,6,98.76543,0,0,0,0.0,6075,True,False
26,2020-06-26,78,SP,Águas de São Pedro,3500600,city,6,173.86265,0,0,0,0.0,3451,True,False
26,2020-06-26,86,SP,Agudos,3500709,city,86,231.09582,3,3,0,0.0349,37214,True,False
26,2020-06-26,72,SP,Alambari,3500758,city,9,149.37759,0,0,0,0.0,6025,True,False
26,2020-06-26,39,SP,Alfredo Marcondes,3500808,city,4,96.01536,0,2,0,0.5,4166,True,False
26,2020-06-26,42,SP,Altair,3500907,city,1,24.03846,0,0,0,0.0,4160,True,False
26,2020-06-26,45,SP,Altinópolis,3501004,city,19,117.3999,2,0,0,0.0,16184,True,False
26,2020-06-26,49,SP,Alto Alegre,3501103,city,3,73.18858,0,1,0,0.3333,4099,True,False
26,2020-06-26,46,SP,Alumínio,3501152,city,45,241.57183,0,2,0,0.0444,18628,True,False
26,2020-06-26,29,SP,Álvares Florence,3501202,city,5,135.9065,1,0,0,0.0,3679,True,False
26,2020-06-26,60,SP,Álvares Machado,3501301,city,40,160.54586,6,1,0,0.025,24915,True,False
26,2020-06-26,50,SP,Álvaro de Carvalho,3501400,city,2,38.26287,0,2,0,1.0,5227,True,False
26,2020-06-26,25,SP,Alvinlândia,3501509,city,1,31.03662,0,0,0,0.0,3222,True,False
26,2020-06-26,88,SP,Americana,3501608,city,463,193.24115,35,21,0,0.0454,239597,True,False
26,2020-06-26,77,SP,Américo Brasiliense,3501707,city,113,278.98479,4,2,0,0.0177,40504,True,False
26,2020-06-26,51,SP,Américo de Campos,3501806,city,27,452.33707,4,0,0,0.0,5969,True,False
26,2020-06-26,77,SP,Amparo,3501905,city,127,175.91246,6,7,0,0.0551,72195,True,False
26,2020-06-26,17,SP,Analândia,3502002,city,3,60.06006,0,0,0,0.0,4995,True,False
26,2020-06-26,73,SP,Andradina,3502101,city,55,96.22618,2,4,0,0.0727,57157,True,False
26,2020-06-26,70,SP,Angatuba,3502200,city,44,174.40939,0,2,0,0.0455,25228,True,False
26,2020-06-26,58,SP,Anhembi,3502309,city,2,29.7442,0,0,0,0.0,6724,True,False
26,2020-06-26,42,SP,Anhumas,3502408,city,4,97.20535,0,0,0,0.0,4115,True,False
26,2020-06-26,70,SP,Aparecida,3502507,city,17,47.01718,0,0,0,0.0,36157,True,False
26,2020-06-26,16,SP,Aparecida d'Oeste,3502606,city,4,95.32888,0,0,0,0.0,4196,True,False
26,2020-06-26,73,SP,Apiaí,3502705,city,22,90.26011,0,0,0,0.0,24374,True,False
26,2020-06-26,77,SP,Araçariguama,3502754,city,56,250.40243,1,2,0,0.0357,22364,True,False
26,2020-06-26,88,SP,Araçatuba,3502804,city,584,296.42263,36,15,1,0.0257,197016,True,False
26,2020-06-26,78,SP,Araçoiaba da Serra,3502903,city,83,243.07386,3,2,0,0.0241,34146,True,False
26,2020-06-26,16,SP,Aramina,3503000,city,6,106.76157,0,1,0,0.1667,5620,True,False
26,2020-06-26,71,SP,Arandu,3503109,city,13,204.49898,0,2,0,0.1538,6357,True,False
26,2020-06-26,18,SP,Arapeí,3503158,city,1,40.50223,0,1,0,1.0,2469,True,False
26,2020-06-26,86,SP,Araraquara,3503208,city,847,358.78884,37,11,1,0.013,236072,True,False
26,2020-06-26,81,SP,Araras,3503307,city,325,242.11091,3,8,0,0.0246,134236,True,False
26,2020-06-26,62,SP,Arealva,3503406,city,4,46.72897,1,0,0,0.0,8560,True,False
26,2020-06-26,3,SP,Areias,3503505,city,1,25.7334,0,0,0,0.0,3886,True,False
26,2020-06-26,65,SP,Areiópolis,3503604,city,21,188.6962,1,3,0,0.1429,11129,True,False
26,2020-06-26,38,SP,Ariranha,3503703,city,40,413.73604,-1,0,0,0.0,9668,True,False
26,2020-06-26,79,SP,Artur Nogueira,3503802,city,63,115.7918,5,2,0,0.0317,54408,True,False
26,2020-06-26,93,SP,Arujá,3503901,city,509,566.6637,21,34,-1,0.0668,89824,True,False
26,2020-06-26,25,SP,Aspásia,3503950,city,17,933.04061,0,0,0,0.0,1822,True,False
26,2020-06-26,86,SP,Assis,3504008,city,167,159.98314,13,8,0,0.0479,104386,True,False
26,2020-06-26,85,SP,Atibaia,3504107,city,175,122.5825,11,11,1,0.0629,142761,True,False
26,2020-06-26,61,SP,Auriflama,3504206,city,36,237.01363,1,0,0,0.0,15189,True,False
26,2020-06-26,70,SP,Avaí,3504305,city,6,111.04942,0,0,0,0.0,5403,True,False
26,2020-06-26,50,SP,Avanhandava,3504404,city,4,29.30618,0,0,0,0.0,13649,True,False
26,2020-06-26,80,SP,Avaré,3504503,city,118,130.16381,3,10,0,0.0847,90655,True,False
26,2020-06-26,80,SP,Bady Bassitt,3504602,city,73,417.09519,3,5,1,0.0685,17502,True,False
26,2020-06-26,8,SP,Balbinos,3504701,city,0,,0,0,0,0.0,5735,True,False
26,2020-06-26,39,SP,Bálsamo,3504800,city,19,209.52801,1,0,0,0.0,9068,True,False
26,2020-06-26,51,SP,Bananal,3504909,city,7,63.95614,0,0,0,0.0,10945,True,False
26,2020-06-26,38,SP,Barão de Antonina,3505005,city,8,230.61401,0,0,0,0.0,3469,True,False
26,2020-06-26,48,SP,Barbosa,3505104,city,3,40.52959,1,0,0,0.0,7402,True,False
26,2020-06-26,74,SP,Bariri,3505203,city,64,181.4882,4,1,0,0.0156,35264,True,False
26,2020-06-26,64,SP,Barra Bonita,3505302,city,109,301.72175,6,3,0,0.0275,36126,True,False
26,2020-06-26,8,SP,Barra do Chapéu,3505351,city,2,34.9406,0,0,0,0.0,5724,True,False
26,2020-06-26,79,SP,Barra do Turvo,3505401,city,12,156.67842,0,1,0,0.0833,7659,True,False
26,2020-06-26,81,SP,Barretos,3505500,city,864,707.6283,52,27,1,0.0312,122098,True,False
26,2020-06-26,65,SP,Barrinha,3505609,city,82,249.90857,7,5,0,0.061,32812,True,False
26,2020-06-26,101,SP,Barueri,3505708,city,1987,724.70111,54,193,0,0.0971,274182,True,False
26,2020-06-26,37,SP,Bastos,3505807,city,3,14.31776,0,0,0,0.0,20953,True,False
26,2020-06-26,80,SP,Batatais,3505906,city,58,92.78812,0,1,0,0.0172,62508,True,False
26,2020-06-26,88,SP,Bauru,3506003,city,1117,296.42958,42,25,2,0.0224,376818,True,False
26,2020-06-26,81,SP,Bebedouro,3506102,city,71,91.61763,5,6,1,0.0845,77496,True,False
26,2020-06-26,21,SP,Bento de Abreu,3506201,city,3,100.67114,0,0,0,0.0,2980,True,False
26,2020-06-26,52,SP,Bernardino de Campos,3506300,city,6,53.82131,1,0,0,0.0,11148,True,False
26,2020-06-26,53,SP,Bertioga,3506359,city,407,643.48843,0,13,0,0.0319,63249,True,False
26,2020-06-26,73,SP,Bilac,3506409,city,2,24.8942,0,0,0,0.0,8034,True,False
26,2020-06-26,82,SP,Birigui,3506508,city,209,169.04188,24,8,1,0.0383,123638,True,False
26,2020-06-26,65,SP,Biritiba-Mirim,3506607,city,70,214.7371,3,7,1,0.1,32598,True,False
26,2020-06-26,38,SP,Boa Esperança do Sul,3506706,city,20,134.02131,0,1,0,0.05,14923,True,False
26,2020-06-26,60,SP,Bocaina,3506805,city,44,356.88215,2,2,0,0.0455,12329,True,False
26,2020-06-26,35,SP,Bofete,3506904,city,45,383.63171,0,3,0,0.0667,11730,True,False
26,2020-06-26,82,SP,Boituva,3507001,city,215,352.47635,14,7,1,0.0326,60997,True,False
26,2020-06-26,63,SP,Bom Jesus dos Perdões,3507100,city,29,113.95787,1,0,0,0.0,25448,True,False
26,2020-06-26,24,SP,Borá,3507209,city,1,119.47431,0,0,0,0.0,837,True,False
26,2020-06-26,42,SP,Boracéia,3507308,city,15,311.00974,0,0,0,0.0,4823,True,False
26,2020-06-26,64,SP,Borborema,3507407,city,27,168.26623,3,0,0,0.0,16046,True,False
26,2020-06-26,63,SP,Borebi,3507456,city,6,226.15907,0,1,0,0.1667,2653,True,False
26,2020-06-26,84,SP,Botucatu,3507506,city,583,397.96037,31,15,1,0.0257,146497,True,False
26,2020-06-26,81,SP,Bragança Paulista,3507605,city,488,289.32578,12,13,0,0.0266,168668,True,False
26,2020-06-26,20,SP,Braúna,3507704,city,16,281.39289,0,0,0,0.0,5686,True,False
26,2020-06-26,52,SP,Brejo Alegre,3507753,city,4,139.61606,0,0,0,0.0,2865,True,False
26,2020-06-26,89,SP,Brodowski,3507803,city,77,308.75336,2,2,0,0.026,24939,True,False
26,2020-06-26,45,SP,Brotas,3507902,city,12,49.17428,1,0,0,0.0,24403,True,False
26,2020-06-26,43,SP,Buri,3508009,city,32,160.98199,1,1,0,0.0312,19878,True,False
26,2020-06-26,73,SP,Buritama,3508108,city,34,198.32011,3,1,0,0.0294,17144,True,False
26,2020-06-26,28,SP,Buritizal,3508207,city,5,111.58224,0,0,0,0.0,4481,True,False
26,2020-06-26,18,SP,Cabrália Paulista,3508306,city,10,234.52158,0,0,0,0.0,4264,True,False
26,2020-06-26,66,SP,Cabreúva,3508405,city,243,488.86475,18,14,1,0.0576,49707,True,False
26,2020-06-26,80,SP,Caçapava,3508504,city,140,148.52063,4,7,0,0.05,94263,True,False
26,2020-06-26,88,SP,Cachoeira Paulista,3508603,city,40,120.0228,3,1,0,0.025,33327,True,False
26,2020-06-26,60,SP,Caconde,3508702,city,3,15.80195,0,0,0,0.0,18985,True,False
